id,npart,ntheta,nphi
805306936,0,2,56
805306937,0,2,57
805306938,0,2,58
805306939,0,2,59
805306940,0,2,60
805306941,0,2,61
805306942,0,2,62
805306943,0,2,63
805306944,0,2,64
805306945,0,2,65
805306946,0,2,66
805306947,0,2,67
805306948,0,2,68
805306949,0,2,69
805306950,0,2,70
805306951,0,2,71
805306952,0,2,72
805306953,0,2,73
805306954,0,2,74
805306955,0,2,75
805306956,0,2,76
805306957,0,2,77
805306958,0,2,78
805306959,0,2,79
805307136,0,3,0
805307137,0,3,1
805307138,0,3,2
805307139,0,3,3
805307140,0,3,4
805307141,0,3,5
805307142,0,3,6
805307143,0,3,7
805307144,0,3,8
805307145,0,3,9
805307146,0,3,10
805307147,0,3,11
805307148,0,3,12
805307149,0,3,13
805307150,0,3,14
805307151,0,3,15
805307152,0,3,16
805307153,0,3,17
805307154,0,3,18
805307155,0,3,19
805307156,0,3,20
805307157,0,3,21
805307158,0,3,22
805307159,0,3,23
805307160,0,3,24
805307161,0,3,25
805307162,0,3,26
805307163,0,3,27
805307164,0,3,28
805307165,0,3,29
805307166,0,3,30
805307167,0,3,31
805307168,0,3,32
805307169,0,3,33
805307170,0,3,34
805307171,0,3,35
805307172,0,3,36
805307173,0,3,37
805307174,0,3,38
805307175,0,3,39
805307176,0,3,40
805307177,0,3,41
805307178,0,3,42
805307179,0,3,43
805307180,0,3,44
805307181,0,3,45
805307182,0,3,46
805307183,0,3,47
805307184,0,3,48
805307185,0,3,49
805307186,0,3,50
805307187,0,3,51
805307188,0,3,52
805307189,0,3,53
805307190,0,3,54
805307191,0,3,55
805307192,0,3,56
805307193,0,3,57
805307194,0,3,58
805307195,0,3,59
805307196,0,3,60
805307197,0,3,61
805307198,0,3,62
805307199,0,3,63
805307200,0,3,64
805307201,0,3,65
805307202,0,3,66
805307203,0,3,67
805307204,0,3,68
805307205,0,3,69
805307206,0,3,70
805307207,0,3,71
805307208,0,3,72
805307209,0,3,73
805307210,0,3,74
805307211,0,3,75
805307212,0,3,76
805307213,0,3,77
805307214,0,3,78
805307215,0,3,79
805307392,0,4,0
805307393,0,4,1
805307394,0,4,2
805307395,0,4,3
805307396,0,4,4
805307397,0,4,5
805307398,0,4,6
805307399,0,4,7
805307400,0,4,8
805307401,0,4,9
805307402,0,4,10
805307403,0,4,11
